"FolderName","ImageTotal","JpgCount","PngCount","WebpCount","OtherImg","Mp4Count","HasDesc","TextMdCount","TotalSizeMB","ImagesNeeded"
"Ai圖像編輯","0","0","0","0","0","0","N","9","0.07","5"
"AI翻唱","1","0","1","0","0","1","N","0","23.85","4"
"人工智慧軟體 AI文字圖片生成影片工具- CogVideoX-5B V1.1","1","1","0","0","0","0","N","0","0.15","4"
"Sora 水印清除器","1","0","1","0","0","0","N","0","0.34","4"
"Kandinsky 5 - 輕量級文圖生影片","1","1","0","0","0","0","N","0","1.49","4"
"Matanyone","1","0","1","0","0","1","N","0","52.68","4"
"Roop CPU版 小巧簡易的照片AI換臉軟體","1","1","0","0","0","0","N","0","0.15","4"
"直播換臉","1","1","0","0","0","0","N","0","0.76","4"
"AI 音樂創作生成器","1","0","1","0","0","0","N","0","0.26","4"
"MiniMax-Remover視訊圖片物件移除工具整合包","1","1","0","0","0","0","N","0","0.76","4"
"AI 開源視訊高畫質修復放大工具特色就是速度快效果好操作簡單Anime4KCPP GUI","2","2","0","0","0","0","N","0","0.25","3"
"最佳Ai影片去浮水印無損解析度","2","1","1","0","0","0","N","0","0.91","3"
"AI變聲器 Voice Changer","2","0","2","0","0","0","N","0","1.49","3"
"LONG CAT","2","0","2","0","0","0","N","0","2.46","3"
"FaceFusion 3.6.0 一鍵換臉軟體，支援圖片換臉影片換臉直播換臉支援50系列顯示卡一鍵整合包","2","2","0","0","0","0","N","0","0.9","3"
"Remix Wan 2.2无限制文生视频 _ 图生视频 _ 首尾帧+Qwen3-VL 智能提示创建,高画质 × 强动态真实突破,线上镜像一键部署启动","2","2","0","0","0","1","N","0","20.54","3"
"Wan2.2-ReMixV3.0-SVI-VBVR","2","0","2","0","0","0","N","0","2.59","3"
"全新AI數位人 可產生4K超高清+1小時超長影片","2","1","1","0","0","0","N","0","0.36","3"
"【AI视频】最强AI生成视频，FramePack-V1.2整合包，支持首尾帧视频、批量生成、分辨率调节等！支持50系显卡，附AI提示词模板。支持120s视频，6G显存可用！","2","0","2","0","0","1","N","0","9.44","3"
"Wan2.2 Animate 視頻整合包10月更新comfyui整合包","2","2","0","0","0","0","N","0","1.36","3"
"AI人聲分離軟體可分離歌曲伴奏和人聲ClearerVoice","2","0","2","0","0","0","N","0","0.24","3"
"音躍 ACE-Step AI音樂生成器","3","1","2","0","0","1","N","0","13.57","2"
"MiniMax-Remover  AI幫你移除影片裡的路人","3","3","0","0","0","1","N","0","12.38","2"
"Meta SAM 3","3","3","0","0","0","2","N","0","51.27","2"
"LibreTranslate","3","1","2","0","0","0","N","0","0.69","2"
"去碼","3","3","0","0","0","0","N","0","1.16","2"
"圖片加水印工具","3","0","3","0","0","1","N","0","30.88","2"
"MOSS-TTSD高品質的文字到語音合成系統一鍵整合包","3","2","1","0","0","0","N","0","0.93","2"
"RunningHub","3","1","2","0","0","0","N","1","2.73","2"
"SANA-Sprint - 英偉達開源文字產生影像模型","3","2","1","0","0","1","N","0","6.88","2"
"文案提取助手","3","0","3","0","0","0","N","1","58.47","2"
"‌Z-Image - 秒產生+照片級逼真文生圖神器","3","3","0","0","0","0","N","0","0.51","2"
"MuseTalk数字人对口型工具1.5版","3","3","0","0","0","1","N","1","30.98","2"
"Voice Changer v1.02.98.1226","3","3","0","0","0","0","N","0","2.71","2"
"RMBG 背景去除（BRIA Background Removal ）一鍵啟動整合包","3","2","1","0","0","0","N","1","1.53","2"
"infintetalk-ai","3","2","1","0","0","0","N","0","0.99","2"
"FacePoke","3","1","1","0","1","1","N","0","6.53","2"
"AI 自動產生短劇解說影片","3","0","3","0","0","0","N","0","0.64","2"
"AI變聲器，支援即時聲音轉換、AI唱歌、AI歌曲翻唱支援50系列顯示卡","3","2","0","0","1","0","N","1","0.8","2"
"HelloMeme 讓你秒變表情包製造機","3","3","0","0","0","0","N","1","1.03","2"
"Heygem專案-V1.0.3","3","2","1","0","0","3","N","1","8.9","2"
"HeartLib音樂生成","3","2","1","0","0","0","N","0","1.01","2"
"OfficeAI助理","4","4","0","0","0","0","N","0","39.35","1"
"PhotoMaker","4","3","1","0","0","0","N","0","1.2","1"
"Deepfacelive-2025 50系可用 最新版","4","4","0","0","0","0","N","0","0.7","1"
"嚴禁未成年 OK影視 3.4.8 PRO版 自訂福利線路 繁體中文版","4","0","4","0","0","0","N","1","0.91","1"
"AI人工智慧模命理虛擬占卜系統","4","4","0","0","0","0","N","0","1.11","1"
"Z-Image-Turbo 無審查、能生成 NSFW圖、內含中文 文字片","4","4","0","0","0","0","N","0","1.17","1"
"手機版AI數字人","4","4","0","0","0","6","N","0","83.89","1"
"MEGA+comyfui","4","4","0","0","0","4","N","1","82.51","1"
"AI NSFW套圖","4","2","2","0","0","0","N","0","1.57","1"
"AI 影片智能去水印神器","4","1","2","1","0","0","N","0","1.9","1"
"混源影片-Foley出文字轉影片轉音訊模型","4","4","0","0","0","1","N","0","16.37","1"
"AI一张图片实现视频跳舞MimicMotion工具V1.0，腾讯出品，更好的图片跳舞工具，傻瓜式操作，不用搭建环境，解压即用！","5","1","4","0","0","2","N","0","30.88","0"
"其他","105","70","33","2","0","12","N","0","168.78","0"
"AIStarter","6","1","5","0","0","0","N","1","2.92","0"
"IMAGDressing整合包,一键换衣,AI换衣,AI换装,解除NSFW滤镜,一键脱衣,竞品ID","6","1","5","0","0","1","N","0","12.41","0"
"「Anydoor」任意門，可實現隔空換物，一鍵換衣等功能","6","5","1","0","0","0","Y","1","3.1","0"
"AIFoto v1.16.1","10","9","1","0","0","1","N","1","49","0"
"【VibeVoice ｜2026 最強中文 AI 配音員來了！】","7","7","0","0","0","1","N","0","6.35","0"
"AI作畫離線工具9.2","11","0","0","11","0","0","N","0","0.56","0"
"音視頻驅動圖片說話唱歌小工具- AniPortrait v1.1","6","5","1","0","0","1","N","0","11.01","0"
"AI 賦能的東方命理","46","0","46","0","0","1","N","12","167.08","0"
"熊貓TV 免費版","5","1","4","0","0","0","N","1","24.51","0"
"節點式 AI 繪畫整合包 ComfyUI","11","0","11","0","0","1","N","0","107.18","0"
"時尚換裝","118","37","79","2","0","9","N","3","450.08","0"
"工作流教學影片","11","1","10","0","0","1","N","1","58.38","0"
"圖","16","8","7","1","0","0","N","0","1.55","0"
"美團 LongCat Image","6","4","2","0","0","0","N","0","1.12","0"
"成人抖音","10","4","6","0","0","0","N","1","25.22","0"
"AI截圖中文字辨識翻譯工具","5","1","4","0","0","0","N","0","0.73","0"
"Pony Diffusion XV","18","2","16","0","0","1","N","0","17.98","0"
"FacePic v3.2.1","10","10","0","0","0","0","N","1","36.41","0"
"CreArt v2.5.7，無限AI圖片生成，將文字描述轉化為藝術作品","7","7","0","0","0","0","N","1","52.47","0"
"RVC","6","3","2","1","0","0","N","1","0.91","0"
"ComfyUI_Mie_V7.0","9","1","8","0","0","1","N","0","18.17","0"
"FireRed-Image-Edit -S級大尺度AI改圖神器，文字修改穩如狗、老照片神修復、虛擬換衣脫衣超精準","7","0","1","6","0","1","N","0","2.77","0"
"LTX 2.3  多模態 AI影音生成器","7","2","5","0","0","0","N","0","4","0"
"Linly-Dubbing 一鍵影片下載+翻譯+配音+字幕","7","1","6","0","0","0","N","0","3.46","0"
"LTX-2.3-GGUF-文生影片-首尾影格-Nsfw18+限制級-圖片生影片","6","6","0","0","0","0","N","0","1.44","0"
"FLUX電商換衣王者 秒把瀏覽變訂單","8","5","3","0","0","0","N","0","2.82","0"
"GLM-Image最强中文海报 + PPT + 科普圖生成神器！","6","5","1","0","0","0","N","0","2.65","0"
"RWKV Runner  開箱即用的AI軟體-聊天+寫作+翻譯+作曲 一鍵完成","9","0","9","0","0","0","N","0","3.84","0"
"AI生成海報","90","32","53","5","0","0","N","0","81.61","0"
"TTS多合一","5","1","4","0","0","0","N","0","1.43","0"
"AI換衣","19","17","1","1","0","2","N","1","26.06","0"
"Wan2.2AllInOne V4版 - Wan2.2极速视频生成模型，更新Mega V7模型，支持NSFW WebUI+ComfyUI工作流 一键整合包下载","5","3","1","1","0","4","N","0","369.35","0"
"AI提示詞優化器","20","7","13","0","0","1","N","1","149.98","0"
"TTS2","11","8","2","1","0","1","N","0","13.3","0"
"SD繪世啟動器","8","2","6","0","0","1","N","0","27.44","0"
"AI變聲器","5","0","5","0","0","0","N","0","3.65","0"
"SongGeneration V4版 - AI一键生成歌曲，人人皆可创作音乐","7","1","6","0","0","2","N","0","49.44","0"
"STranslate - 一款即用即走的翻译、OCR工具","6","6","0","0","0","0","N","0","0.51","0"
"AI視頻舞蹈生成器","6","6","0","0","0","1","N","0","109.56","0"
