shopee_prices.json 商品清單（共 179 項）
19:22 ⚡麥可（台灣智能） 這是你用爬蟲抓的嗎
19:23 費行雨 這個是你抓的
19:23 費行雨 這個你可以把他加到你那個什麼硬體偵測那一個網頁裡面
19:23 費行雨 讓他去比對關鍵字
========================================

  1. Wan2.2-SVI2-Pro-remix｜2026最強NSFW圖生影片神器                                   NT$ 999  ✅NSFW
  2. 🔥安卓手機 AI 換臉神器來襲！NSFW 一鍵變身，照片+影片隨心換！🎥APP工具✨           NT$ 999  ✅NSFW
  3. AI 自動產生短劇解說影片 輸入一段話就能產生短劇解說影片                             NT$ 980
  4. LTX-2 影音畫同步生成！開源視訊模型新王 重新定義影音同步的AI 影片創作新標準         NT$ 960
  5. FireRed-Image-Edit -AI改圖神器支援NSFW，文字修改穩如狗、老照片神修復              NT$ 999  ✅NSFW
  6. 全網最全的 ComfyUI工作流教學課程                                                   NT$ 460
  7. Qwen-Image-Edit-AIO AI版PS,小白一鍵修圖神器,10秒出圖,支援NSFW-S級大尺度           NT$ 850  ✅NSFW
  8. Anima V2：動漫AI繪畫神器，快速產生角色插畫與藝術圖一鍵整合包                      NT$ 799
  9. UniSE：多任務語音增強，一鍵搞定去雜訊、分離與提取                                  NT$ 690
 10. AI黑科技 簡單易用的碼賽克去除工具                                                  NT$ 699
 11. HeyGem AI數位人分身 克隆神器2026【整合包】                                        NT$ 730
 12. 天機紫微斗數專業預測軟體                                                            NT$ 580
 13. Flux.2-Klein-9B-EA 完美遷移到全新場景、姿勢、服裝、光線 換頭、換臉、換全身        NT$ 999
 14. CineTTS-Studio 語音克隆 AI配音套件：8G顯存可跑                                    NT$ 845
 15. AI文字圖片生成視頻，混元視頻工具V1.3，新增圖生視頻                                NT$ 789
 16. ViiTorVoice-NAR：一句話克隆你的聲音，支援局部修改和情緒控制一鍵整合包             NT$ 650
 17. VisoMaster 新一代AI換臉神器：影片/直播/照片 換臉                                   NT$ 999
 18. AI生成 NSFW 套圖9000張                                                             NT$ 290  ✅NSFW
 19. AI夢幻工廠 商品 補價差專用                                                          NT$   1
 20. AI相片照片修圖工具 +人像修圖+美顏瘦身+降噪換背景+移除人物                          NT$ 497
 21. AI 提示詞智慧增強工具                                                              NT$ 308
 22. AI提示詞優化器Prompt Optimizer 一鍵優化你的提示詞                                  NT$ 308
 23. 最強程式設計AI來了！ Qwen3.6-Plus 登頂，Agent能力拉滿！                            NT$   1
 24. AI變聲器 Voice Changer                                                             NT$ 428
 25. OpenCode | 開源AI 編碼代理"開箱即用 遠端幫你安裝到好                               NT$ 510
 26. QwenPaw 小白一鍵運行免Key大模型，桌面AI智能體助理WIN桌面版                        NT$ 520
 27. GPT-SoVITS V4最強的AI語音複製、文字轉語音軟體                                     NT$ 698
 28. Roop_unleashed v8.0 中文版 支援影片照片批量換臉，直播換臉，整合包                 NT$ 999
 29. Sora 影片水印清除器                                                                NT$ 200
 30. [Windows] AI 消除與摳圖軟體 photo retouch                                          NT$ 250
 31. AI一鍵換臉軟體.離線版-無需聯網0費用                                                NT$ 799
 32. 安卓AI人臉編輯器APP                                                                NT$ 430
 33. Edge-TTS電腦端微軟TTS配音工具（文字轉語音） 無需部署授權一鍵啟動                  NT$ 650
 34. Audio_separator - 音樂（歌曲）人聲/樂器分離工具                                    NT$ 418
 35. AI影片消除萬物-移動物體或固定物體（包括人物、物體、浮水印、字幕等）               NT$ 870
 36. IMAGDressing - AI一鍵換衣，可自訂模特兒臉孔及姿勢 一鍵整合包                      NT$ 699
 37. 手機 AI變聲器 Voice Changer Pro 安卓版                                             NT$ 360
 38. 開箱即用的綜合AI軟體-代碼生成+聊天+寫作+翻譯+作曲+模型訓練                        NT$ 430
 39. PRL珍珠幣 AI算力挖礦程式                                                           NT$ 499
 40. Ai翻唱製作軟體 讓AI幫你「唱」出下一個100萬播放                                     NT$ 750
